Iterations	BubbleSort	InsertionSort	HeapSort	MergeSort	QuickSort	SequentialSearch	BinarySearch
865	2427	463	123	91	79	6	0
994	3006	566	208	135	96	2	0
380	427	92	52	35	28	0	0
950	2806	519	142	98	79	4	0
152	68	16	28	13	10	0	0
693	1595	339	95	71	57	2	0
746	1718	344	104	77	61	1	0
919	2684	494	131	106	125	1	0
508	767	166	78	52	44	0	0
460	640	130	59	45	36	0	0
343	330	69	41	31	25	1	0
823	2050	468	116	85	76	2	0
321	280	66	38	29	23	0	0
870	2282	541	129	99	73	2	0
885	2422	605	165	97	78	1	0
66	12	3	6	4	3	0	0
778	1827	353	120	94	63	2	0
635	1197	244	86	62	54	2	0
365	378	79	45	34	27	0	0
16	1	0	0	0	1	0	0
903	2335	473	130	91	80	5	0
842	2053	412	120	85	74	2	0
870	2640	648	142	98	78	1	0
504	805	151	80	49	46	1	0
651	1424	292	139	68	52	0	0
180	94	25	23	20	13	0	0
763	1842	338	127	80	92	4	1
698	1497	363	95	76	58	1	0
579	1061	234	87	57	50	1	0
797	1978	368	115	112	85	3	0
587	1018	221	81	64	56	1	0
207	112	25	23	18	14	0	0
780	1760	345	108	77	63	2	0
1000	2938	585	164	115	88	2	0
19	1	0	1	1	1	0	0
561	903	183	79	65	43	2	0
801	1892	364	109	81	65	1	0
274	205	49	37	25	20	0	0
883	2188	445	122	100	81	2	0
783	1783	341	109	79	65	2	0
839	2060	402	118	87	70	2	0
577	967	198	77	57	45	2	0
264	188	41	30	24	18	0	0
714	1489	282	102	79	57	0	0
395	441	93	55	38	31	0	0
401	445	106	54	43	29	0	0
381	399	87	47	35	28	0	0
348	329	74	42	32	26	0	0
39	6	1	2	2	1	0	0
70	16	3	7	5	3	0	0
