Iterations	BubbleSort	InsertionSort	HeapSort	MergeSort	QuickSort	SequentialSearch	BinarySearch
779	1744	369	139	88	65	1	0	
497	682	146	76	52	41	0	0	
452	577	123	60	48	38	0	0	
328	289	66	43	35	24	0	0	
604	1081	217	89	64	50	1	0	
395	450	92	53	44	32	0	0	
10	0	0	0	0	0	0	0	
870	2209	443	131	100	81	1	0	
604	1076	220	95	70	50	0	0	
533	838	170	72	57	43	0	0	
917	2427	479	132	107	80	1	0	
586	987	206	82	63	48	0	0	
346	320	71	47	41	28	3	0	
2	0	0	0	0	0	0	0	
878	2232	444	127	97	74	1	0	
903	2354	477	130	98	80	1	0	
823	1931	378	128	94	69	1	0	
716	1461	292	124	77	64	2	0	
247	157	37	31	26	19	0	0	
252	163	43	31	26	21	0	0	
929	2533	480	134	116	77	1	0	
576	940	192	78	61	47	1	0	
715	1475	303	99	80	59	1	0	
928	2471	492	141	102	78	1	0	
460	585	133	70	54	37	0	0	
271	234	60	41	28	20	0	0	
2	0	0	0	0	0	0	0	
978	2814	540	164	112	83	1	0	
455	583	119	62	55	36	2	0	
718	1505	294	106	77	59	2	0	
908	2362	483	136	100	76	1	0	
620	1076	230	85	67	51	1	0	
652	1229	253	90	72	54	2	0	
924	2472	510	138	100	78	1	0	
154	68	17	19	16	10	0	0	
145	53	16	18	17	10	0	0	
666	1289	264	93	74	54	1	0	
578	951	196	78	61	48	0	0	
485	670	135	75	52	39	0	0	
245	152	38	32	26	19	0	0	
219	119	31	27	24	17	0	0	
118	37	12	15	13	9	0	0	
258	174	42	32	26	23	0	0	
552	882	172	75	61	45	0	0	
675	1350	275	96	75	63	2	0	
508	729	152	70	54	45	0	0	
568	934	196	83	66	45	0	0	
297	232	56	38	32	27	1	0	
557	875	186	78	72	45	3	0	
343	333	80	62	35	26	1	0	
