Size,BubbleSort,InsertionSort,HeapSort,MergeSort,QuickSort,SequentialSearch,BinarySearch
3444,33692,6793,597,431,342,4,0
2850,23078,4598,481,356,281,3,0
2528,17821,3544,423,300,241,3,0
3105,27287,5392,518,381,294,4,0
3315,31238,6200,566,416,319,4,0
3786,40828,8007,651,478,375,6,0
601,817,208,79,61,52,1,0
1000,2410,562,142,107,84,1,0
4825,66330,13081,853,627,483,5,0
586,759,200,77,59,44,1,0
516,593,156,66,51,39,0,0
4516,57944,11333,816,602,445,6,0
4628,61005,11924,803,601,458,6,0
3235,29849,5883,543,399,319,4,0
1234,3733,849,183,137,110,2,0
2583,18720,3734,428,313,243,4,0
3198,29096,5722,538,407,314,5,0
2076,11712,2414,336,241,189,3,0
4294,52760,10247,760,554,443,5,0
4815,65983,12989,861,629,484,5,0
2138,12459,2582,346,259,194,3,0
4296,52489,10257,752,559,423,5,0
2366,15499,3152,380,285,222,4,0
596,795,205,79,67,46,0,0
4685,62046,12249,846,610,481,6,0
4778,64704,12717,838,611,485,5,0
803,1489,365,111,86,64,1,0
3007,25570,5043,549,369,284,4,0
3165,28365,5571,531,392,302,5,0
1228,3756,852,182,135,104,2,0
1001,2434,558,192,111,83,1,0
1042,2614,605,152,112,86,1,0
4576,59716,11693,808,588,462,7,0
2049,11469,2353,325,243,193,3,0
4406,55382,10860,777,580,436,6,0
1027,2520,593,153,111,85,1,0
3601,36838,7208,633,461,352,4,0
744,1273,308,101,76,59,1,0
2433,16370,3325,392,291,232,3,0
2661,19742,3954,435,336,253,4,0
2156,12714,2611,341,253,198,4,0
64,10,2,5,4,3,0,0
1784,8513,1801,282,207,160,3,0
2107,12057,2478,341,248,191,2,0
1196,3514,807,184,132,101,2,0
3802,41415,8025,662,486,374,5,0
568,719,190,74,57,43,1,0
1366,4733,1040,216,153,123,2,0
1780,8360,1758,282,205,157,3,0
4047,46743,9136,697,511,399,6,0
2817,22265,4431,480,339,273,4,0
3419,33175,6521,577,429,338,4,0
3613,37297,7351,617,456,369,4,0
1103,2959,686,159,120,93,2,0
3682,38472,7584,635,469,378,5,0
